,acd,cch,etf,etf-c,fru,fwe,htc,htc-c,htn,htn-c,ior,ldu,mru,ozd,pco,pma,swe,tre,wtu,ecs,pef,description
11 - Tshirt (130g) - C: IN - ATR: 33% - 11€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1073,667,"T-shirt / Polo : 0,130kg, matière : 82% Coton provenance  par défaut (Asie - Pacifique), 10% Lin provenance  par défaut (Europe), 8% Viscose provenance  par défaut (Asie - Pacifique), filature : Turquie, Tricotage Rectiligne : Inde, ennoblissement : Inde, impression : non, confection : Inde (33 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
12 - Tshirt (220g) - C: IN - ATR: 0% - 29€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1826,1024,"T-shirt / Polo : 0,220kg, matière : 88% Coton provenance  par défaut (Asie - Pacifique), 10% Polyester provenance  par défaut (Asie - Pacifique), 2% Viscose provenance  par défaut (Asie - Pacifique), filature : Myanmar, Tricotage Circulaire : Inde, ennoblissement : Inde, impression : non, confection : Inde, distribution : France, utilisation : France, fin de vie : France"
13 - Tshirt (160g) - C: BD - ATR: 100% - 27€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1338,830,"T-shirt / Polo : 0,160kg, matière : 54% Coton provenance  par défaut (Asie - Pacifique), 14% Polyester provenance  par défaut (Asie - Pacifique), 32% Viscose provenance  par défaut (Asie - Pacifique), filature : Région - Océanie, Tricotage moyen (par défaut) : Bangladesh, ennoblissement : Bangladesh, impression : non, confection : Bangladesh (100 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
14 - Tshirt (220g) - C: CN - ATR: 100% - 38€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1138,869,"T-shirt / Polo : 0,220kg, matière : 62% Polyester provenance  par défaut (Asie - Pacifique), 30% Lin provenance  par défaut (Europe), 8% Viscose provenance  par défaut (Asie - Pacifique), filature : Tunisie, Tricotage moyen (par défaut) : Chine, ennoblissement : Chine, impression : non, confection : Chine (100 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
15 - Tshirt (130g) - C: TR - ATR: 33% - 11€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1178,759,"T-shirt / Polo : 0,130kg, matière : 95% Coton provenance  par défaut (Asie - Pacifique), 3% Chanvre provenance  par défaut (Asie - Pacifique), 2% Viscose provenance  par défaut (Asie - Pacifique), filature : Inconnu (par défaut), Tricotage Intégral / Whole garment : Turquie, ennoblissement : Turquie, impression : non, confection : Turquie (33 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
16 - Tshirt (130g) - C: TN - ATR: 33% - 25€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763,500,"T-shirt / Polo : 0,130kg, matière : 81% Coton provenance  par défaut (Asie - Pacifique), 1% Polyester provenance  par défaut (Asie - Pacifique), 18% Lin provenance  par défaut (Europe), filature : France, Tricotage Rectiligne : Tunisie, ennoblissement : Tunisie, impression : non, confection : Tunisie (33 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
17 - Tshirt (190g) - C: --- - ATR: 33% - 35€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1110,793,"T-shirt / Polo : 0,190kg, matière : 52% Polyester provenance  par défaut (Asie - Pacifique), 39% Lin provenance  par défaut (Europe), 9% Viscose provenance  par défaut (Asie - Pacifique), filature : France, Tricotage Intégral / Whole garment : Inconnu (par défaut), ennoblissement : Inconnu (par défaut), impression : non, confection : Inconnu (par défaut) (33 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
18 - Tshirt (100g) - C: CN - ATR: 33% - 19€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895,584,"T-shirt / Polo : 0,100kg, matière : 93% Coton provenance  par défaut (Asie - Pacifique), 2% Chanvre provenance  par défaut (Asie - Pacifique), 5% Viscose provenance  par défaut (Asie - Pacifique), filature : Région - Amérique du nord, Tricotage Fully fashioned / Seamless : Chine, ennoblissement : Chine, impression : non, confection : Chine (33 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
19 - Tshirt (100g) - C: IN - ATR: 33% - 13€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016,642,"T-shirt / Polo : 0,100kg, matière : 63% Coton provenance  par défaut (Asie - Pacifique), 36% Lin provenance  par défaut (Europe), 1% Viscose provenance  par défaut (Asie - Pacifique), filature : Région - Europe de l'Ouest, Tricotage moyen (par défaut) : Inde, ennoblissement : Inde, impression : non, confection : Inde (33 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
20 - Tshirt (160g) - C: BD - ATR: 100% - 36€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1035,658,"T-shirt / Polo : 0,160kg, matière : 79% Coton provenance  par défaut (Asie - Pacifique), 17% Chanvre provenance  par défaut (Asie - Pacifique), 4% Viscose provenance  par défaut (Asie - Pacifique), filature : Région - Moyen-Orient, Tricotage moyen (par défaut) : Bangladesh, ennoblissement : Bangladesh, impression : non, confection : Bangladesh (100 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
21 - Tshirt (130g) - C: KH - ATR: 33% - 12€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,797,569,"T-shirt / Polo : 0,130kg, matière : 87% Polyester provenance  par défaut (Asie - Pacifique), 1% Chanvre provenance  par défaut (Asie - Pacifique), 12% Viscose provenance  par défaut (Asie - Pacifique), filature : Pakistan, Tricotage Rectiligne : Cambodge, ennoblissement : Cambodge, impression : non, confection : Cambodge (33 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
22 - Tshirt (190g) - C: BD - ATR: 100% - 14€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1456,977,"T-shirt / Polo : 0,190kg, matière : 82% Lin provenance  par défaut (Europe), 9% Chanvre provenance  par défaut (Asie - Pacifique), 9% Viscose provenance  par défaut (Asie - Pacifique), filature : Vietnam, Tricotage Rectiligne : Bangladesh, ennoblissement : Bangladesh, impression : non, confection : Bangladesh (100 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
23 - Tshirt (190g) - C: RAF - ATR: 0% - 28€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1341,876,"T-shirt / Polo : 0,190kg, matière : 57% Coton provenance  par défaut (Asie - Pacifique), 14% Lin provenance  par défaut (Europe), 29% Viscose provenance  par défaut (Asie - Pacifique), filature : Région - Océanie, Tissage : Région - Afrique, ennoblissement : Région - Afrique, impression : non, confection : Région - Afrique, distribution : France, utilisation : France, fin de vie : France"
24 - Tshirt (100g) - C: REO - ATR: 0% - 34€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540,397,"T-shirt / Polo : 0,100kg, matière : 58% Coton provenance  par défaut (Asie - Pacifique), 40% Chanvre provenance  par défaut (Asie - Pacifique), 2% Viscose provenance  par défaut (Asie - Pacifique), filature : Turquie, Tricotage Intégral / Whole garment : Région - Europe de l'Ouest, ennoblissement : Région - Europe de l'Ouest, impression : non, confection : Région - Europe de l'Ouest, distribution : France, utilisation : France, fin de vie : France"
25 - Tshirt (190g) - C: TR - ATR: 33% - 13€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1291,852,"T-shirt / Polo : 0,190kg, matière : 68% Coton provenance  par défaut (Asie - Pacifique), 9% Polyester provenance  par défaut (Asie - Pacifique), 23% Lin provenance  par défaut (Europe), filature : Pakistan, Tricotage moyen (par défaut) : Turquie, ennoblissement : Turquie, impression : non, confection : Turquie (33 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
26 - Tshirt (280g) - C: FR - ATR: 33% - 30€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1612,1099,"T-shirt / Polo : 0,280kg, matière : 91% Coton provenance  par défaut (Asie - Pacifique), 2% Polyester provenance  par défaut (Asie - Pacifique), 7% Viscose provenance  par défaut (Asie - Pacifique), filature : Région - Asie, Tricotage moyen (par défaut) : France, ennoblissement : France, impression : non, confection : France (33 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
27 - Tshirt (280g) - C: CN - ATR: 33% - 32€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1862,1305,"T-shirt / Polo : 0,280kg, matière : 63% Coton provenance  par défaut (Asie - Pacifique), 30% Lin provenance  par défaut (Europe), 7% Viscose provenance  par défaut (Asie - Pacifique), filature : Inde, Tricotage moyen (par défaut) : Chine, ennoblissement : Chine, impression : non, confection : Chine (33 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
28 - Tshirt (220g) - C: CN - ATR: 0% - 39€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1344,869,"T-shirt / Polo : 0,220kg, matière : 61% Coton provenance  par défaut (Asie - Pacifique), 20% Polyester provenance  par défaut (Asie - Pacifique), 19% Viscose provenance  par défaut (Asie - Pacifique), filature : France, Tricotage Circulaire : Chine, ennoblissement : Chine, impression : non, confection : Chine, distribution : France, utilisation : France, fin de vie : France"
29 - Tshirt (130g) - C: ROC - ATR: 33% - 27€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1245,802,"T-shirt / Polo : 0,130kg, matière : 54% Coton provenance  par défaut (Asie - Pacifique), 3% Polyester provenance  par défaut (Asie - Pacifique), 43% Viscose provenance  par défaut (Asie - Pacifique), filature : Turquie, Tricotage moyen (par défaut) : Région - Océanie, ennoblissement : Région - Océanie, impression : non, confection : Région - Océanie (33 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
30 - Tshirt (280g) - C: VN - ATR: 100% - 26€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1449,1069,"T-shirt / Polo : 0,280kg, matière : 75% Polyester provenance  par défaut (Asie - Pacifique), 3% Lin provenance  par défaut (Europe), 22% Viscose provenance  par défaut (Asie - Pacifique), filature : Myanmar, Tricotage Fully fashioned / Seamless : Vietnam, ennoblissement : Vietnam, impression : non, confection : Vietnam (100 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
31 - Tshirt (100g) - C: ROC - ATR: 100% - 17€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882,645,"T-shirt / Polo : 0,100kg, matière : 79% Polyester provenance  par défaut (Asie - Pacifique), 13% Lin provenance  par défaut (Europe), 8% Viscose provenance  par défaut (Asie - Pacifique), filature : Turquie, Tricotage moyen (par défaut) : Région - Océanie, ennoblissement : Région - Océanie, impression : non, confection : Région - Océanie (100 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
32 - Tshirt (100g) - C: REO - ATR: 33% - 11€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743,503,"T-shirt / Polo : 0,100kg, matière : 89% Coton provenance  par défaut (Asie - Pacifique), 7% Lin provenance  par défaut (Europe), 4% Viscose provenance  par défaut (Asie - Pacifique), filature : Cambodge, Tricotage Circulaire : Région - Europe de l'Ouest, ennoblissement : Région - Europe de l'Ouest, impression : non, confection : Région - Europe de l'Ouest (33 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
33 - Tshirt (190g) - C: TR - ATR: 100% - 22€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1988,1224,"T-shirt / Polo : 0,190kg, matière : 93% Coton provenance  par défaut (Asie - Pacifique), 5% Polyester provenance  par défaut (Asie - Pacifique), 2% Viscose provenance  par défaut (Asie - Pacifique), filature : Région - Europe de l'Ouest, Tricotage Intégral / Whole garment : Turquie, ennoblissement : Turquie, impression : non, confection : Turquie (100 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
34 - Tshirt (190g) - C: RAS - ATR: 0% - 23€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1297,768,"T-shirt / Polo : 0,190kg, matière : 60% Coton provenance  par défaut (Asie - Pacifique), 10% Polyester provenance  par défaut (Asie - Pacifique), 30% Viscose provenance  par défaut (Asie - Pacifique), filature : France, Tricotage Rectiligne : Région - Asie, ennoblissement : Région - Asie, impression : non, confection : Région - Asie, distribution : France, utilisation : France, fin de vie : France"
35 - Tshirt (130g) - C: RLA - ATR: 100% - 16€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200,823,"T-shirt / Polo : 0,130kg, matière : 64% Polyester provenance  par défaut (Asie - Pacifique), 36% Viscose provenance  par défaut (Asie - Pacifique), filature : Myanmar, Tricotage Fully fashioned / Seamless : Région - Amérique Latine, ennoblissement : Région - Amérique Latine, impression : non, confection : Région - Amérique Latine (100 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
36 - Tshirt (220g) - C: BD - ATR: 100% - 35€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090,790,"T-shirt / Polo : 0,220kg, matière : 60% Lin provenance  par défaut (Europe), 2% Chanvre provenance  par défaut (Asie - Pacifique), 38% Viscose provenance  par défaut (Asie - Pacifique), filature : Vietnam, Tricotage Circulaire : Bangladesh, ennoblissement : Bangladesh, impression : non, confection : Bangladesh (100 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
37 - Tshirt (160g) - C: FR - ATR: 100% - 18€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1064,682,"T-shirt / Polo : 0,160kg, matière : 63% Coton provenance  par défaut (Asie - Pacifique), 28% Polyester provenance  par défaut (Asie - Pacifique), 9% Lin provenance  par défaut (Europe), filature : Vietnam, Tricotage Circulaire : France, ennoblissement : France, impression : non, confection : France (100 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
38 - Tshirt (100g) - C: TN - ATR: 0% - 33€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579,392,"T-shirt / Polo : 0,100kg, matière : 58% Coton provenance  par défaut (Asie - Pacifique), 19% Polyester provenance  par défaut (Asie - Pacifique), 23% Viscose provenance  par défaut (Asie - Pacifique), filature : Région - Amérique du nord, Tissage : Tunisie, ennoblissement : Tunisie, impression : non, confection : Tunisie, distribution : France, utilisation : France, fin de vie : France"
39 - Tshirt (100g) - C: VN - ATR: 100% - 40€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,669,456,"T-shirt / Polo : 0,100kg, matière : 58% Coton provenance  par défaut (Asie - Pacifique), 11% Polyester provenance  par défaut (Asie - Pacifique), 31% Lin provenance  par défaut (Europe), filature : Bangladesh, Tricotage Circulaire : Vietnam, ennoblissement : Vietnam, impression : non, confection : Vietnam (100 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
40 - Tshirt (130g) - C: REE - ATR: 0% - 32€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763,536,"T-shirt / Polo : 0,130kg, matière : 99% Coton provenance  par défaut (Asie - Pacifique), 1% Lin provenance  par défaut (Europe), filature : Tunisie, Tricotage moyen (par défaut) : Région - Europe de l'Est, ennoblissement : Région - Europe de l'Est, impression : non, confection : Région - Europe de l'Est, distribution : France, utilisation : France, fin de vie : France"
41 - Tshirt (250g) - C: KH - ATR: 33% - 31€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1693,1140,"T-shirt / Polo : 0,250kg, matière : 58% Coton provenance  par défaut (Asie - Pacifique), 24% Chanvre provenance  par défaut (Asie - Pacifique), 18% Viscose provenance  par défaut (Asie - Pacifique), filature : Chine, Tricotage moyen (par défaut) : Cambodge, ennoblissement : Cambodge, impression : non, confection : Cambodge (33 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
42 - Tshirt (130g) - C: VN - ATR: 0% - 29€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643,462,"T-shirt / Polo : 0,130kg, matière : 74% Polyester provenance  par défaut (Asie - Pacifique), 10% Chanvre provenance  par défaut (Asie - Pacifique), 16% Viscose provenance  par défaut (Asie - Pacifique), filature : Région - Europe de l'Ouest, Tricotage Circulaire : Vietnam, ennoblissement : Vietnam, impression : non, confection : Vietnam, distribution : France, utilisation : France, fin de vie : France"
43 - Tshirt (250g) - C: MA - ATR: 33% - 21€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961,1293,"T-shirt / Polo : 0,250kg, matière : 97% Polyester provenance  par défaut (Asie - Pacifique), 3% Chanvre provenance  par défaut (Asie - Pacifique), filature : Région - Amérique du nord, Tricotage Rectiligne : Maroc, ennoblissement : Maroc, impression : non, confection : Maroc (33 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
44 - Tshirt (100g) - C: --- - ATR: 33% - 22€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,864,567,"T-shirt / Polo : 0,100kg, matière : 67% Coton provenance  par défaut (Asie - Pacifique), 32% Lin provenance  par défaut (Europe), 1% Viscose provenance  par défaut (Asie - Pacifique), filature : Région - Amérique Latine, Tricotage Intégral / Whole garment : Inconnu (par défaut), ennoblissement : Inconnu (par défaut), impression : non, confection : Inconnu (par défaut) (33 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
45 - Tshirt (190g) - C: BD - ATR: 0% - 22€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1126,781,"T-shirt / Polo : 0,190kg, matière : 91% Lin provenance  par défaut (Europe), 9% Viscose provenance  par défaut (Asie - Pacifique), filature : Turquie, Tricotage Intégral / Whole garment : Bangladesh, ennoblissement : Bangladesh, impression : non, confection : Bangladesh, distribution : France, utilisation : France, fin de vie : France"
46 - Tshirt (280g) - C: IN - ATR: 100% - 28€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2605,1721,"T-shirt / Polo : 0,280kg, matière : 64% Coton provenance  par défaut (Asie - Pacifique), 23% Lin provenance  par défaut (Europe), 13% Viscose provenance  par défaut (Asie - Pacifique), filature : Maroc, Tissage : Inde, ennoblissement : Inde, impression : non, confection : Inde (100 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
47 - Tshirt (100g) - C: RLA - ATR: 100% - 37€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624,427,"T-shirt / Polo : 0,100kg, matière : 63% Coton provenance  par défaut (Asie - Pacifique), 36% Chanvre provenance  par défaut (Asie - Pacifique), 1% Viscose provenance  par défaut (Asie - Pacifique), filature : Région - Amérique du nord, Tricotage Fully fashioned / Seamless : Région - Amérique Latine, ennoblissement : Région - Amérique Latine, impression : non, confection : Région - Amérique Latine (100 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
